Timestamp,FP1,FP2,O1,O2,C3,CZ,FZ,C4
186477.7757262,-86806.1328125,-121685.625,60046.75390625,-6547.18408203125,127607.6328125,86247.6953125,-198333.78125,78447.203125
186477.7757542,-87892.6015625,-122907.90625,60019.796875,-7438.03515625,127612.1875,86269.8671875,-199288.828125,78531.2421875
186477.7757773,-87449.140625,-122608.5703125,59861.0546875,-7555.69384765625,127549.875,86183.9453125,-199104.828125,78499.0546875
186477.7758012,-86828.3046875,-121935.0703125,59738.2578125,-7505.26904296875,127513.390625,86147.9140625,-198587.875,78473.1328125
186477.7758278,-86517.8828125,-121535.953125,59810.140625,-7093.4599609375,127555.953125,86179.7890625,-198246.15625,78454.3515625
186477.7758503,-86817.21875,-121735.515625,60073.7109375,-6513.56689453125,127642.5859375,86279.5625,-198351.296875,78465.0859375
186477.7758719,-87892.6015625,-122957.796875,60040.765625,-7404.41796875,127634.984375,86289.265625,-199306.34375,78541.078125
186477.7758956,-87426.96875,-122621.046875,59894.00390625,-7522.0771484375,127574.1875,86200.578125,-199087.296875,78512.46875
186477.7759192,-86828.3046875,-121984.9609375,59765.2109375,-7488.4599609375,127531.6328125,86146.53125,-198596.640625,78479.390625
186477.775943,-86517.8828125,-121560.8984375,59837.09375,-7076.65185546875,127577.234375,86171.4765625,-198254.921875,78467.765625
186477.7759702,-86872.6484375,-121835.2890625,60085.69140625,-6513.56689453125,127656.265625,86261.5546875,-198403.875,78480.28125
186477.7759947,-87881.515625,-122995.2109375,60052.74609375,-7387.60888671875,127651.703125,86264.3203125,-199315.109375,78553.59375
186477.7760184,-87449.140625,-122683.40625,59902.98828125,-7513.6728515625,127595.46875,86168.703125,-199122.34375,78522.3046875
186477.7760404,-86861.5625,-122059.7890625,59768.20703125,-7480.05615234375,127545.3125,86114.65625,-198649.203125,78493.6953125
186477.7760686,-86528.96875,-121623.265625,59828.109375,-7059.8427734375,127575.7109375,86128.515625,-198289.96875,78469.5546875
186477.7760976,-86850.4765625,-121872.7109375,60097.671875,-6513.56689453125,127672.984375,86229.6796875,-198421.390625,78482.0703125
186477.7957102,-87892.6015625,-123045.1015625,60073.7109375,-7387.60888671875,127677.546875,86247.6953125,-199341.390625,78556.28125
186477.8922294,-87444.2265625,-122752.15625,59905.8046875,-7523.01611328125,127601.328125,86151.7109375,-199160.390625,78517.4765625
186477.8922654,-86832.953125,-122086.078125,59771.24609375,-7482.783203125,127558.40625,86108.7578125,-198659.71875,78493.875
186477.8922895,-86510.015625,-121659.78125,59821.31640625,-7080.451171875,127588.453125,86115.6796875,-198309.234375,78461.421875
186477.8923169,-86890.6171875,-121952.859375,60093.55859375,-6525.23388671875,127678.5703125,86215.4609375,-198479.46875,78481.0859375
186477.8923408,-87928.6328125,-123151.8125,60059.13671875,-7410.36279296875,127662.8359375,86212.6875,-199420.75,78546.0
186477.8923649,-87421.15625,-122765.484375,59896.41796875,-7531.06298828125,127592.7421875,86111.5234375,-199180.421875,78495.84375
186477.8924685,-86798.3515625,-122086.078125,59761.859375,-7498.8759765625,127549.828125,86057.4765625,-198659.71875,78455.515625
186477.8925095,-86486.9453125,-121659.78125,59830.703125,-7072.40478515625,127588.453125,86078.265625,-198309.234375,78425.03125
186477.8925739,-86879.0859375,-121966.1796875,60074.78515625,-6573.51416015625,127662.8359375,86164.1875,-198489.484375,78430.9296875
186477.8926022,-87894.03125,-123111.84375,60027.84375,-7458.64306640625,127648.53125,86166.9609375,-199400.71875,78503.703125
186477.8926565,-87421.15625,-122778.8046875,59896.41796875,-7547.15576171875,127594.171875,86090.7421875,-199190.4375,78476.171875
186477.8926885,-86844.484375,-122139.3671875,59777.50390625,-7506.9228515625,127565.5625,86056.09375,-198699.765625,78458.46875
186477.8927183,-86533.078125,-121726.390625,59852.60546875,-7056.31201171875,127598.46875,86074.109375,-198359.296875,78433.8828125
186477.8927502,-86913.6875,-122019.46875,60096.6875,-6565.466796875,127682.8671875,86165.5703125,-198539.546875,78446.6640625
186477.8927805,-87940.1640625,-123218.4140625,60056.0078125,-7434.5029296875,127671.421875,86168.34375,-199470.8125,78510.59375
186477.8928077,-87467.296875,-122872.0546875,59918.3203125,-7531.06298828125,127615.6328125,86090.7421875,-199250.515625,78484.0390625
186477.8928393,-86879.0859375,-122232.6171875,59799.41015625,-7514.96923828125,127574.1484375,86049.1640625,-198769.859375,78462.3984375
186477.8928685,-86533.078125,-121793.0,59880.76953125,-7040.2177734375,127614.203125,86076.8828125,-198409.375,78437.8125
186477.8928974,-86936.75,-122112.71875,60127.98046875,-6573.51416015625,127692.8828125,86166.9609375,-198609.640625,78448.6328125
186477.8929293,-87951.703125,-123285.0234375,60084.171875,-7442.5498046875,127692.8828125,86175.2734375,-199530.890625,78530.2578125
186477.8929587,-87478.828125,-122951.984375,59918.3203125,-7547.15576171875,127622.78125,86078.265625,-199320.609375,78486.984375
186477.8929974,-86867.5546875,-122285.8984375,59786.89453125,-7539.10888671875,127578.4375,86040.8515625,-198809.921875,78464.3671875
186477.8930417,-86510.015625,-121819.6484375,59890.15625,-7032.171875,127629.9375,86081.0390625,-198429.40625,78440.765625
186477.893071,-86925.21875,-122166.0078125,60159.2734375,-6557.4208984375,127727.2109375,86196.0625,-198639.6875,78471.25
186477.9068147,-87951.703125,-123351.6328125,60106.07421875,-7434.5029296875,127718.625,86196.0625,-199580.96875,78534.1953125
186477.9924293,-87429.296875,-122960.03125,59943.3984375,-7512.2421875,127650.5,86098.1171875,-199328.46875,78494.6796875
186477.9924655,-86849.3984375,-122330.609375,59804.8203125,-7520.51318359375,127600.609375,86044.921875,-198849.84375,78474.9609375
186477.9924949,-86483.8203125,-121844.234375,59887.96875,-7032.57421875,127646.34375,86073.796875,-198449.109375,78452.4296875
186477.9925237,-86912.4375,-122187.5546875,60129.09765625,-6585.98583984375,127730.875,86169.5546875,-198660.609375,78466.515625
186477.9926393,-87920.9453125,-123331.9609375,60087.5234375,-7446.0810546875,127729.4921875,86183.2265625,-199573.359375,78535.046875
186477.9926878,-87429.296875,-122974.3359375,59946.171875,-7495.7021484375,127668.515625,86099.6328125,-199328.46875,78499.3671875
186477.9927154,-86874.6171875,-122373.5234375,59810.36328125,-7503.97216796875,127626.9375,86060.1171875,-198860.96875,78480.59375
186477.9927402,-86521.6328125,-121915.7578125,59904.59765625,-7007.76416015625,127675.4453125,86090.515625,-198493.640625,78448.6796875
186477.9927686,-86912.4375,-122216.1640625,60154.04296875,-6561.17578125,127747.5078125,86181.7109375,-198671.734375,78464.640625
186477.992799,-87946.15625,-123389.1875,60115.23828125,-7429.541015625,127733.6484375,86192.3515625,-199606.75,78542.5546875
186477.9928318,-87378.8671875,-122945.7265625,59973.88671875,-7462.6220703125,127671.2890625,86113.3125,-199306.21875,78500.3125
186477.9929029,-86862.0078125,-122373.5234375,59824.22265625,-7503.97216796875,127617.2421875,86061.640625,-198872.09375,78471.2109375
186477.9929411,-86496.421875,-121887.1484375,59907.3671875,-6991.22314453125,127660.203125,86090.515625,-198471.375,78445.859375
186477.992965,-86950.25,-122244.7734375,60148.5,-6552.90576171875,127743.3515625,86189.3125,-198705.125,78465.578125
186477.9929858,-87946.15625,-123403.4921875,60087.5234375,-7462.6220703125,127737.8046875,86192.3515625,-199617.890625,78535.984375
186477.9930079,-87416.6875,-122988.640625,59943.3984375,-7479.162109375,127675.4453125,86110.2734375,-199350.734375,78494.6796875
186477.9930349,-86874.6171875,-122387.828125,59804.8203125,-7528.783203125,127636.640625,86078.359375,-198894.359375,78474.0234375
186477.993063,-86521.6328125,-121944.3671875,59890.73828125,-7016.0341796875,127680.984375,86113.3125,-198515.90625,78444.921875
