Timestamp,PPG
186479.1399966,42859.0,83599.0
186479.1400109,42878.0,83811.0
186479.2494148,42907.0,84060.0
186479.2494282,42898.0,83900.0
186479.2494365,42866.0,83756.0
186479.2494442,42863.0,83624.0
186479.2494522,42885.0,83900.0
186479.2494596,42889.0,83984.0
186479.249467,42904.0,83912.0
186479.2494743,42880.0,83740.0
186479.2494818,42870.0,83608.0
186479.2494899,42887.0,83924.0
186479.3405261,42907.0,84060.0
186479.3405415,42901.0,83976.0
186479.3405521,42866.0,83756.0
186479.3405623,42863.0,83624.0
186479.3405733,42886.0,83960.0
186479.3405834,42889.0,83984.0
186479.340595,42925.0,83928.0
186479.340607,42880.0,83740.0
186479.340619,42870.0,83608.0
186479.3406306,42881.0,83896.0
186479.4770083,42885.0,84015.0
186479.4770457,42879.0,83711.0
186479.4770646,42870.0,83747.0
186479.4770813,42853.0,83599.0
186479.4770951,42854.0,83695.0
186479.4771065,42888.0,84051.0
186479.4771164,42888.0,83687.0
186479.4771264,42871.0,83743.0
186479.4771364,42859.0,83599.0
186479.4771479,42861.0,83671.0
186479.582611,42885.0,84015.0
186479.582638,42873.0,83639.0
186479.5826603,42870.0,83747.0
186479.5827055,42853.0,83599.0
186479.5827365,42862.0,83647.0
186479.5827521,42888.0,84051.0
186479.5827679,42877.0,83655.0
186479.5828203,42871.0,83743.0
186479.5828557,42859.0,83599.0
186479.5828688,42864.0,83651.0
186479.644625,42907.0,84060.0
186479.6446476,42853.0,83664.0
186479.6446627,42866.0,83756.0
186479.6446725,42863.0,83624.0
186479.6446852,42869.0,83656.0
186479.6446983,42889.0,83984.0
186479.6447133,42834.0,83676.0
186479.6447268,42880.0,83740.0
186479.6447421,42870.0,83608.0
186479.6447551,42856.0,83680.0
186479.7405301,42907.0,84060.0
186479.740552,42841.0,83696.0
186479.7405671,42866.0,83756.0
186479.7405781,42863.0,83624.0
186479.7405885,42860.0,83712.0
186479.7405983,42889.0,83984.0
186479.7406084,42833.0,83732.0
186479.740618,42880.0,83740.0
186479.7406281,42870.0,83608.0
186479.7406379,42843.0,83732.0
186479.8393703,42885.0,84015.0
186479.8393916,42843.0,83811.0
186479.8394095,42870.0,83747.0
186479.8394226,42853.0,83599.0
186479.8394382,42880.0,83827.0
186479.8394526,42888.0,84051.0
186479.8394657,42852.0,83831.0
186479.8394816,42871.0,83743.0
186479.8394941,42859.0,83599.0
186479.839508,42856.0,83839.0
186479.942243,42885.0,84015.0
186479.9422856,42856.0,83899.0
186479.9423082,42870.0,83747.0
186479.9423246,42853.0,83599.0
186479.9423427,42868.0,83919.0
186479.942398,42888.0,84051.0
186479.9424095,42852.0,83915.0
186479.942419,42871.0,83743.0
186479.9424288,42859.0,83599.0
186479.942438,42886.0,83927.0
